,sample_name,tax_id,tax_level,genus_tax_id,name,common_name,category,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,expected_bg_count,p_val,p_adj,Barcode
8634,EARLI_10456_PLaD1_F17_OPS046_S262,297,1,70774,Hydrogenophilus thermoluteolus,,bacteria,0.206013831,2.324207638,1.132154192,0.037157038,2,NA,NA,99.623,265,134.176,0.00498982,0.0284124,NA,NA,2.324207638,0.037157038,2,NA,NA,98.864,88,42.9172,0.00155529,0.0153178,NA,NA,NA,0.052881705,0.000304956,0.001230005,10456
8637,EARLI_10456_PLaD1_F17_OPS046_S262,161493,1,161492,Anaeromyxobacter dehalogenans,,bacteria,-0.002895257,-0.171182457,-0.234184674,0.037157038,2,NA,NA,92.5,106.5,49.699,0.19395,0.669527,NA,NA,-0.171182457,0.018578519,1,NA,NA,85.1,47,307.653,0.0462642,0.161732,NA,NA,NA,0,0,0,10456
8638,EARLI_10456_PLaD1_F17_OPS046_S262,29459,1,234,Brucella melitensis,,bacteria,-0.000558834,-0.065591179,-0.068869501,0.037157038,2,NA,NA,95.1,61,25.5686,0.0632061,0.378238,NA,NA,-0.065591179,0.018578519,1,NA,NA,100,48,307.653,0.0258392,0.110696,NA,NA,NA,0.000844139,1.63e-09,9.38e-09,10456
8641,EARLI_10456_PLaD1_F17_OPS046_S262,93220,1,93217,Pandoraea pnomenusa,,bacteria,-0.005659022,-0.274642445,-0.327723973,0.037157038,2,NA,NA,84.615,78,11.3645,4.33021,13.0996,NA,NA,-0.274642445,0.018578519,1,NA,NA,60.4,48,307.653,5.1542,18.6993,NA,NA,NA,0.058466461,0.000400905,0.001584902,10456
8642,EARLI_10456_PLaD1_F17_OPS046_S262,274,1,270,Thermus thermophilus,,bacteria,-0.00242203,-0.048316747,-0.184199219,0.037157038,2,NA,NA,98.6,146,84.8861,0.142801,0.573531,NA,NA,-0.048316747,0.037157038,2,NA,NA,96.85,48,307.653,0.0448021,0.158228,NA,NA,NA,0,0,0,10456
8913,EARLI_10740_PLaD1_A19_OPS046_S289,2026240,1,570,Klebsiella quasivariicola,,bacteria,39311.90878,100,100,58.54996735,3386,105,491,99.7038,159.115,88.1463,NA,NA,NA,NA,100,7.279839413,421,16,72,97.8224,55.0641,210.576,NA,NA,NA,NA,NA,0,0,0,10740
8914,EARLI_10740_PLaD1_A19_OPS046_S289,1613,1,1578,Lactobacillus fermentum,,bacteria,2538.165176,99,99,39.33879968,2275,52,262,99.1999,126.54,66.6396,0.111383,0.361102,NA,NA,35.77577235,38.18025041,2208,78,387,97.7582,50.813,236.494,0.32841,1.05803,NA,NA,NA,0.162727479,0,0,10740
8916,EARLI_10740_PLaD1_A19_OPS046_S289,1800,1,1866885,Mycolicibacterium chubuense,,bacteria,-2.760020524,-0.129063422,-0.302238928,0.06916712,4,NA,NA,95.325,174.75,85.0326,1.37885,4.33327,NA,NA,-0.129063422,0.05187534,3,NA,NA,99.2333,67,138.627,0.0895425,0.29185,NA,NA,NA,0,0,0,10740
8918,EARLI_10740_PLaD1_A19_OPS046_S289,729,1,724,Haemophilus parainfluenzae,,bacteria,892.1457669,30.4085145,4.119975963,34.04751498,1969,37,176,97.2026,139.456,71.2016,2.06031,7.76393,NA,NA,30.4085145,21.83951824,1263,31,179,95.1493,49.5257,226.347,0.268235,0.709383,NA,NA,NA,0.779469389,0,0,10740
8920,EARLI_10740_PLaD1_A19_OPS046_S289,66656,1,66655,Durio zibethinus,,eukaryota,691.6712032,100,100,0.03458356,2,NA,NA,60.55,52,4.54689,NA,NA,NA,NA,100,0.03458356,2,NA,NA,97.9,48,307.653,NA,NA,NA,NA,NA,0,0,0,10740
8922,EARLI_10740_PLaD1_A19_OPS046_S289,11864,1,153057,Avian leukosis virus,,viruses,406.2240162,100,100,0.03458356,2,NA,NA,100,134.5,79.7795,NA,NA,NA,NA,100,0.03458356,2,NA,NA,94.8,48,307.653,NA,NA,NA,NA,NA,0,0,0,10740
8924,EARLI_10740_PLaD1_A19_OPS046_S289,2058135,1,336276,Olleya sp. Bg11-27,,bacteria,173.3538933,100,100,0.01729178,1,NA,NA,90,50,15.3665,NA,NA,NA,NA,100,0.01729178,1,NA,NA,91.7,48,307.653,NA,NA,NA,NA,NA,0,0,0,10740
8926,EARLI_10740_PLaD1_A19_OPS046_S289,1660,1,2529408,Schaalia odontolytica,,bacteria,69.3737667,1.369810608,1.369810608,0.587920523,34,NA,NA,94.7063,106.647,51.2283,0.113188,0.346568,NA,NA,-0.293366141,0.380419162,22,NA,NA,94.4948,46.5,243.93,3.56529,10.8563,NA,NA,NA,1.516656046,1.26e-05,6.08e-05,10740
8927,EARLI_10740_PLaD1_A19_OPS046_S289,1308,1,1301,Streptococcus thermophilus,,bacteria,0.157179227,0.241309685,0.032159193,6.363375069,368,2,20,99.2287,121.617,63.6732,5.10469,39.1392,NA,NA,0.241309685,2.697517692,156,NA,NA,98.8083,45.3718,270.137,1.10838,6.58547,NA,NA,NA,3.876130448,2.82e-20,1.77e-19,10740
8928,EARLI_10740_PLaD1_A19_OPS046_S289,28132,1,838,Prevotella melaninogenica,,bacteria,52.56965674,23.23701516,1.832566091,17.51657322,1013,7,28,96.7444,125.863,63.6952,2.45277,8.22006,NA,NA,23.23701516,10.96298857,634,7,32,96.2407,46.5773,262.836,0.161843,0.464825,NA,NA,NA,0.126973839,0,0,10740
8929,EARLI_10740_PLaD1_A19_OPS046_S289,739,1,416916,Aggregatibacter segnis,,bacteria,49.71100484,99,99,1.227716386,71,NA,NA,97.1476,121.873,63.1357,0.000335689,0.00330615,NA,NA,0.765956751,0.743546543,43,1,4,99.0213,54.4419,229.242,0.147371,0.778341,NA,NA,NA,0.429747593,5.09e-25,3.23e-24,10740
8931,EARLI_10740_PLaD1_A19_OPS046_S289,28449,1,482,Neisseria subflava,,bacteria,29.53912019,99,99,1.193132825,69,1,4,96.9743,117.058,58.119,0.00257004,0.0116047,NA,NA,17.37793176,0.415002722,24,NA,NA,99.4,47.7083,264.436,0.00587755,0.0235428,NA,NA,NA,0.107942967,4.68e-53,3.07e-52,10740
8932,EARLI_10740_PLaD1_A19_OPS046_S289,29466,1,29465,Veillonella parvula,,bacteria,10.40723449,16.71486799,0.114320375,20.61180185,1192,15,66,98.0331,125.502,65.3103,12.4919,71.0276,NA,NA,16.71486799,11.32611595,655,15,68,96.403,48.3649,240.317,0.230586,0.663812,NA,NA,NA,0.955100614,1.53e-210,1.02e-209,10740
8934,EARLI_10740_PLaD1_A19_OPS046_S289,544580,1,1654,Actinomyces oris,,bacteria,-0.060222888,-0.065406799,-0.067068643,1.729178008,100,NA,NA,97.036,99.01,51.3363,2.57209,12.5679,NA,NA,-0.065406799,1.867512249,108,NA,NA,97.8532,41.4259,281.866,2.66488,12.1909,NA,NA,NA,0.134458417,4.26e-68,2.8e-67,10740
8941,EARLI_10740_PLaD1_A19_OPS046_S289,539,1,538,Eikenella corrodens,,bacteria,5.559814735,7.314897134,7.314897134,0.10375068,6,NA,NA,97.9,140.667,79.8783,0.00142039,0.0139893,NA,NA,0.199966491,0.10375068,6,NA,NA,98.6,46.5,307.653,0.0511201,0.263197,NA,NA,NA,0.12279902,3.32e-06,1.67e-05,10740
8943,EARLI_10740_PLaD1_A19_OPS046_S289,2201350,1,20,Phenylobacterium sp. HYN0004,,bacteria,3.827261881,100,100,0.10375068,6,NA,NA,87.8,124.5,41.9319,NA,NA,NA,NA,100,0.01729178,1,NA,NA,81.2,48,307.653,NA,NA,NA,NA,NA,0,0,0,10740
8945,EARLI_10740_PLaD1_A19_OPS046_S289,1379,1,1378,Gemella haemolysans,,bacteria,3.53409599,17.46590355,17.46590355,1.089382145,63,NA,NA,94.3472,100.937,47.175,0.0133218,0.0616092,NA,NA,-0.135850244,0.708962983,41,1,6,87.1258,42.2927,235.7,1.58093,6.41859,NA,NA,NA,0.77484472,5.77e-15,3.54e-14,10740
8949,EARLI_10740_PLaD1_A19_OPS046_S289,1017,1,1016,Capnocytophaga gingivalis,,bacteria,2.617267327,24.37871371,24.37871371,0.553336963,32,NA,NA,98.175,105.344,57.2897,0.00364085,0.0225482,NA,NA,0.759082186,0.242084921,14,NA,NA,98.0143,41.3571,307.653,0.0659232,0.232072,NA,NA,NA,0,0,0,10740
8955,EARLI_10740_PLaD1_A19_OPS046_S289,3818,1,3817,Arachis hypogaea,peanut,eukaryota,2.340897385,100,3.489262249,0.691671203,40,NA,NA,96.7494,90.425,44.0458,0.0383871,0.187227,NA,NA,100,0.138334241,8,NA,NA,95.2958,46,237.206,NA,NA,NA,NA,NA,0,0,0,10740
8956,EARLI_10740_PLaD1_A19_OPS046_S289,1723645,1,1827,Rhodococcus sp. 008,,bacteria,-0.008434166,-0.251037352,-0.304858084,0.05187534,3,NA,NA,99.0667,146,85.8035,9.73868,31.7748,NA,NA,-0.251037352,0.03458356,2,NA,NA,96.85,48,307.653,0.176743,0.566288,NA,NA,NA,0,0,0,10740
8960,EARLI_10740_PLaD1_A19_OPS046_S289,292913,1,165697,Sphingopyxis sp. 113P3,,bacteria,-0.014319704,-0.233887039,-0.236787606,0.172917801,10,NA,NA,93.81,115.6,57.0187,2.96462,11.7899,NA,NA,-0.233887039,0.01729178,1,NA,NA,95.8,48,307.653,0.551443,2.2838,NA,NA,NA,0,0,0,10740
8965,EARLI_10740_PLaD1_A19_OPS046_S289,43675,1,32207,Rothia mucilaginosa,,bacteria,1.662554574,4.393141878,-0.076554803,6.363375069,368,NA,NA,96.3072,111.073,55.5151,9.64309,42.8414,NA,NA,4.393141878,3.683149157,213,NA,NA,97.8099,43.1549,278.057,0.242849,0.783107,NA,NA,NA,1.34721243,3.3e-50,2.16e-49,10740
8966,EARLI_10740_PLaD1_A19_OPS046_S289,133448,1,544,Citrobacter youngae,,bacteria,1.58106834,100,100,0.05187534,3,NA,NA,99.2,82.3333,43.3129,NA,NA,NA,NA,0.244145112,0.03458356,2,NA,NA,92.7,48,307.653,0.0168482,0.0726427,NA,NA,NA,0,0,0,10740
8968,EARLI_10740_PLaD1_A19_OPS046_S289,580165,1,1386,Bacillus cytotoxicus,,bacteria,0.071053059,1.973498042,-0.052024496,0.10375068,6,NA,NA,99.8543,167.667,92.2362,0.199662,1.84358,NA,NA,1.973498042,0.10375068,6,NA,NA,99.5613,55.3333,221.681,0.00854578,0.0482417,NA,NA,NA,0,0,0,10740
8974,EARLI_10740_PLaD1_A19_OPS046_S289,1717,1,1716,Corynebacterium diphtheriae,,bacteria,-0.007593167,-0.405960333,-0.412356402,0.03458356,2,NA,NA,90.9,55,18.7447,0.703838,1.623,NA,NA,-0.405960333,0.03458356,2,NA,NA,98.95,48,307.653,0.835523,1.97295,NA,NA,NA,0,0,0,10740
8979,EARLI_10740_PLaD1_A19_OPS046_S289,1793722,1,2034,Curtobacterium sp. 9128,,bacteria,-0.003686138,-0.032504244,-0.201600245,0.06916712,4,NA,NA,92.025,98.75,44.4607,0.279162,1.04164,NA,NA,-0.032504244,0.03458356,2,NA,NA,97.9,48,307.653,0.0419159,0.225581,NA,NA,NA,0.088135455,2.31e-05,0.000108276,10740
8980,EARLI_10740_PLaD1_A19_OPS046_S289,817,1,816,Bacteroides fragilis,,bacteria,-0.010513988,-0.13568558,-0.13568558,0.05187534,3,NA,NA,98.2333,132,74.8794,0.403263,2.58972,NA,NA,-0.180130548,0.121042461,7,NA,NA,96.6714,41.4286,307.653,0.313856,1.07041,NA,NA,NA,0.222810074,0.003076002,0.00993798,10740
8981,EARLI_10740_PLaD1_A19_OPS046_S289,556499,1,1743,Propionibacterium acidifaciens,,bacteria,0.080451389,0.864037045,0.864037045,0.207501361,12,NA,NA,99.625,105.167,59.2021,0.0218198,0.2149,NA,NA,0.39358223,0.10375068,6,NA,NA,99.5,35.3333,307.653,0.0379886,0.167086,NA,NA,NA,0,0,0,10740
8983,EARLI_10740_PLaD1_A19_OPS046_S289,199,1,194,Campylobacter concisus,,bacteria,-0.00616038,-0.078423391,-0.109795931,0.10375068,6,NA,NA,97.2333,145.667,81.9193,1.67033,14.2681,NA,NA,-0.078423391,0.207501361,12,1,4,79.6667,40.4167,205.46,0.302556,1.21207,NA,NA,NA,0,0,0,10740
8984,EARLI_10740_PLaD1_A19_OPS046_S289,120017,1,5269,Ustilago hordei,,eukaryota,0.219481915,100,100,0.01729178,1,NA,NA,90.1,71,26.8861,NA,NA,NA,NA,0.030145347,0.03458356,2,NA,NA,84.35,48,307.653,0.0303214,0.141387,NA,NA,NA,0,0,0,10740
8985,EARLI_10740_PLaD1_A19_OPS046_S289,747,1,745,Pasteurella multocida,,bacteria,0.318272626,1.989789394,-0.089576898,0.06916712,4,NA,NA,96,69.5,32.0482,0.165671,1.07733,NA,NA,1.989789394,0.190209581,11,NA,NA,94.3909,34.0909,307.653,0.0259849,0.0825337,NA,NA,NA,0.22886576,0.000976154,0.003576207,10740
8988,EARLI_10740_PLaD1_A19_OPS046_S289,54291,1,160674,Raoultella ornithinolytica,,bacteria,-0.004760576,-0.065762199,-0.102927879,0.363127382,21,4,16,99.6015,222.857,112.031,2.38038,19.5987,NA,NA,-0.065762199,0.207501361,12,NA,NA,97.725,40.6667,307.653,0.509824,4.59721,NA,NA,NA,0.258564121,1.52e-11,9.07e-11,10740
8991,EARLI_10740_PLaD1_A19_OPS046_S289,851,1,848,Fusobacterium nucleatum,,bacteria,-0.018241859,-0.146544224,-0.176912467,0.380419162,22,NA,NA,99.7182,93.8182,51.6653,7.03622,37.622,NA,NA,-0.146544224,0.172917801,10,NA,NA,99.23,40.4,307.653,0.892935,4.91331,NA,NA,NA,0.080043385,5.57e-21,3.51e-20,10740
8995,EARLI_10740_PLaD1_A19_OPS046_S289,630,1,629,Yersinia enterocolitica,,bacteria,-0.001235689,0.162823643,0.162823643,0.03458356,2,NA,NA,95.1,72,32.3642,0.0214363,0.0807454,NA,NA,-0.278339696,0.03458356,2,NA,NA,97.55,41,307.653,2.13113,7.53233,NA,NA,NA,0.06139951,0.000457681,0.001789445,10740
8997,EARLI_10740_PLaD1_A19_OPS046_S289,670,1,662,Vibrio parahaemolyticus,,bacteria,-0.100303708,-0.06009697,-0.06009697,0.01729178,1,NA,NA,100,89,48.7447,0.0222088,0.0818181,NA,NA,-0.310403513,1.279591726,74,1,72,98.3436,70.3649,31.4598,7.86384,21.2119,NA,NA,NA,0,0,0,10740
8998,EARLI_10740_PLaD1_A19_OPS046_S289,169679,1,1485,Clostridium saccharobutylicum,,bacteria,-0.001346795,-0.114016536,-0.252114658,0.01729178,1,NA,NA,98.4,64,30.3565,0.146108,0.510943,NA,NA,-0.114016536,0.01729178,1,NA,NA,87.5,48,307.653,0.0407614,0.205844,NA,NA,NA,0,0,0,10740
8999,EARLI_10740_PLaD1_A19_OPS046_S289,715,1,713,Actinobacillus pleuropneumoniae,,bacteria,0.003336426,0.590215976,-0.100706528,0.03458356,2,NA,NA,87.2,86,31.6021,0.215241,1.7939,NA,NA,0.590215976,0.05187534,3,NA,NA,99.3,42,307.653,0.0170235,0.0590493,NA,NA,NA,0,0,0,10740
9003,EARLI_10740_PLaD1_A19_OPS046_S289,622,1,620,Shigella dysenteriae,,bacteria,-0.000749697,-0.066533826,-0.066533826,0.03458356,2,NA,NA,100,227,114.284,0.0747821,0.604182,NA,NA,-0.175936515,0.01729178,1,NA,NA,97.9,48,307.653,0.0413138,0.136538,NA,NA,NA,0,0,0,10740
9006,EARLI_10740_PLaD1_A19_OPS046_S289,40492,1,5644,Stereum hirsutum,,eukaryota,-2.92E-05,-0.020166071,-0.020943548,0.03458356,2,NA,NA,91.4,145.5,70.137,0.0376933,0.148482,NA,NA,-0.020166071,0.03458356,2,NA,NA,96.85,48,307.653,0.0373473,0.137049,NA,NA,NA,0.103527128,0.001798589,0.006196488,10740
9015,EARLI_10740_PLaD1_A19_OPS046_S289,712710,1,195950,Tannerella sp. oral taxon HOT-286,,bacteria,-0.00282779,-0.129665352,-0.129665352,0.06916712,4,NA,NA,95.4,87,44.0273,0.599619,4.09093,NA,NA,-0.199794687,0.03458356,2,NA,NA,97.8,45,307.653,0.110059,0.377765,NA,NA,NA,0.082104936,1.7e-05,8.08e-05,10740
9020,EARLI_10740_PLaD1_A19_OPS046_S289,1387353,1,1763521,Paludisphaera borealis,,bacteria,-0.003926241,-0.106498998,-0.291849409,0.03458356,2,NA,NA,96.4,97,49.3873,0.262201,0.779914,NA,NA,-0.106498998,0.06916712,4,NA,NA,94.8,40,307.653,0.105618,0.342265,NA,NA,NA,0.018085535,1.46e-05,7e-05,10740
9033,EARLI_10741_PLaD1_I18_OPS046_S281,1766,1,1866885,Mycolicibacterium fortuitum,,bacteria,-1.53471361,0.094282212,-0.172501276,0.12242434,6,NA,NA,94.6,83.8333,37.2641,0.4076,1.65318,NA,NA,0.094282212,0.06121217,3,NA,NA,99.3,52.6667,124.516,0.0471727,0.148909,NA,NA,NA,0.257563096,0.000155577,0.000656281,10741
9037,EARLI_10741_PLaD1_I18_OPS046_S281,232721,1,12916,Acidovorax sp. JS42,,bacteria,-0.023413525,0.21974353,-0.078570155,1.591516418,78,NA,NA,99.1353,118.269,65.5838,2.22518,8.06494,NA,NA,0.21974353,0.24484868,12,NA,NA,99.1668,52.3333,220.18,0.131768,0.514603,NA,NA,NA,4.261914522,4.21e-05,0.000191981,10741
9039,EARLI_10741_PLaD1_I18_OPS046_S281,31998,1,407,Methylobacterium radiotolerans,,bacteria,-0.01361837,-0.331418774,-0.364665318,0.040808113,2,NA,NA,93.3,104,49.3565,12.7417,34.8289,NA,NA,-0.331418774,0.081616227,4,NA,NA,98.95,48,307.653,5.99479,17.842,NA,NA,NA,0,0,0,10741
9042,EARLI_10741_PLaD1_I18_OPS046_S281,1546149,1,238749,Diaphorobacter polyhydroxybutyrativorans,,bacteria,-0.072743946,-0.262125391,-0.267460909,0.897778492,44,NA,NA,98.4487,113.477,60.6327,3.62596,10.2003,NA,NA,-0.262125391,0.30606085,15,NA,NA,96.4867,39.8,307.653,1.15849,3.25199,NA,NA,NA,4.218043324,0.001854992,0.006373236,10741
9043,EARLI_10741_PLaD1_I18_OPS046_S281,2597701,1,283,Comamonas sp. NLF 7-7,,bacteria,2.688677462,100,100,0.12242434,6,NA,NA,89.5393,133.833,49.4153,NA,NA,NA,NA,100,0.020404057,1,NA,NA,100,48,307.653,NA,NA,NA,NA,NA,0,0,0,10741
9045,EARLI_10741_PLaD1_I18_OPS046_S281,84595,1,2053,Gordonia polyisoprenivorans,,bacteria,-0.00797236,-0.263458958,-0.338039311,0.040808113,2,NA,NA,99.2,125,71.9208,0.96973,2.74797,NA,NA,-0.263458958,0.040808113,2,NA,NA,97.6,41,307.653,0.317469,1.05011,NA,NA,NA,0.004456123,2.35e-07,1.27e-06,10741
9048,EARLI_10741_PLaD1_I18_OPS046_S281,93218,1,93217,Pandoraea apista,,bacteria,0.814689688,3.171609539,0.345874102,1.101819058,54,NA,NA,99.6463,121.907,70.6155,0.569671,1.53856,NA,NA,3.171609539,0.816162265,40,NA,NA,98.655,42.825,307.653,0.0646589,0.236947,NA,NA,NA,1.516285619,4.44e-08,2.47e-07,10741
9049,EARLI_10741_PLaD1_I18_OPS046_S281,57704,1,2060,Tsukamurella tyrosinosolvens,,bacteria,1.086779351,100,100,0.040808113,2,NA,NA,95.2,125,65.0605,NA,NA,NA,NA,0.102421473,0.040808113,2,NA,NA,95.1,41,307.653,0.0294423,0.110971,NA,NA,NA,0.089089299,0.001224925,0.00438649,10741
9053,EARLI_10741_PLaD1_I18_OPS046_S281,10359,1,10358,Human betaherpesvirus 5,Human cytomegalovirus,viruses,0.059981569,12.24155718,12.24155718,0.040808113,2,NA,NA,100,146,87.6383,0.000335689,0.00330615,NA,NA,0.941311916,0.040808113,2,NA,NA,100,48,307.653,0.00654756,0.0363966,NA,NA,NA,0,0,0,10741
9056,EARLI_10741_PLaD1_I18_OPS046_S281,61647,1,1330546,Pluralibacter gergoviae,,bacteria,-0.001687424,-0.066705757,-0.191946111,0.040808113,2,NA,NA,100,146,87.6383,0.119659,0.410797,NA,NA,-0.066705757,0.040808113,2,NA,NA,100,34,307.653,0.053015,0.182996,NA,NA,NA,0.115666302,0.002374988,0.007911532,10741
9059,EARLI_10741_PLaD1_I18_OPS046_S281,518,1,517,Bordetella bronchiseptica,,bacteria,-0.008378048,-0.304282588,-0.304282588,0.040808113,2,NA,NA,100,146,87.6383,1.04596,3.30335,NA,NA,-0.329004915,0.040808113,2,NA,NA,100,43.5,307.653,1.07618,3.14698,NA,NA,NA,0.104970789,0.001862634,0.00639646,10741
9060,EARLI_10741_PLaD1_I18_OPS046_S281,548,1,570,Klebsiella aerogenes,,bacteria,-0.005959798,-0.105790122,-0.105790122,0.081616227,4,NA,NA,100,138.5,82.5127,0.168793,0.824054,NA,NA,-0.341510317,0.040808113,2,NA,NA,100,48,307.653,0.75604,2.09432,NA,NA,NA,0,0,0,10741
9061,EARLI_10741_PLaD1_I18_OPS046_S281,1280,1,1279,Staphylococcus aureus,,bacteria,-0.007631918,-0.245336503,-0.337580799,0.040808113,2,NA,NA,100,65,32.4089,6.03891,17.7679,NA,NA,-0.245336503,0.040808113,2,NA,NA,98.95,48,307.653,74.1236,301.964,NA,NA,NA,0.045724242,0.000204325,0.000847514,10741
9070,EARLI_10755_PLaD1_B19_OPS046_S290,42068,1,4753,Pneumocystis jirovecii,,eukaryota,2.921399349,32.27573091,32.27573091,0.138146486,8,NA,NA,100,68.25,34.6386,0.000612173,0.00426123,NA,NA,-0.048379899,0.017268311,1,NA,NA,100,37,10.3,0.0253628,0.167311,NA,NA,NA,0,0,0,10755
9072,EARLI_10755_PLaD1_B19_OPS046_S290,1655,1,1654,Actinomyces naeslundii,,bacteria,-0.019462013,-0.217692137,-0.221269428,0.138146486,8,NA,NA,95.35,85,39.8763,2.67666,11.4725,NA,NA,-0.217692137,0.138146486,8,NA,NA,98.9125,43.375,15.1625,0.847394,3.25803,NA,NA,NA,0.070691605,1.89e-09,1.09e-08,10755
9075,EARLI_10755_PLaD1_B19_OPS046_S290,4565,1,4564,Triticum aestivum,bread wheat,eukaryota,0.481433608,0.642404495,0.642404495,1.018830333,59,NA,NA,97.3339,64.6102,29.509,0.314967,1.09567,NA,NA,0.352900222,0.017268311,1,NA,NA,91.9,37,8.6,0.00497789,0.0348269,NA,NA,NA,2.652218068,8.54e-06,4.17e-05,10755
9076,EARLI_10755_PLaD1_B19_OPS046_S290,33052,1,165697,Sphingopyxis terrae,,bacteria,-0.009004215,-0.253654873,-0.323782812,0.069073243,4,NA,NA,100,122,71.2622,0.553407,1.49586,NA,NA,-0.253654873,0.017268311,1,NA,NA,100,32,8.1,0.0934916,0.3005,NA,NA,NA,0,0,0,10755
9078,EARLI_10755_PLaD1_B19_OPS046_S290,71999,1,57493,Kocuria palustris,,bacteria,-0.01764123,-0.137195954,-0.192579318,0.207219729,12,NA,NA,98.2833,113.333,62.8219,5.96875,29.9177,NA,NA,-0.137195954,0.172683107,10,NA,NA,97.88,34.6,9.07,0.835876,4.83391,NA,NA,NA,0.206917163,3.17e-08,1.77e-07,10755
