"","ranksum_microbes","means_microbes"
"Leptotrichia sp. oral taxon 212",261,0.0333129851921674
"Campylobacter showae",247,0.0251285929138097
"Rhodotorula graminis",238,-0.0157226917586342
"Capnocytophaga gingivalis",218,-0.0135200617556808
"Malassezia restricta",212,0.00875241588529983
"Candida tropicalis",204,-0.0157857627523967
"Bifidobacterium pseudolongum",200,-0.0223330219917035
"Cronobacter sakazakii",200,0.00754422187980278
"Staphylococcus cohnii",188,-0.00899867195163084
"Bifidobacterium adolescentis",185,0.0218149943990288
"Vibrio parahaemolyticus",177,0.0200131903234872
"Campylobacter concisus",173,-0.0206366674288871
"Parabacteroides distasonis",163,-0.00604583729252802
"Cardiobacterium hominis",163,0.0126522820390001
"Ogataea polymorpha",156,0.0190460672992755
"Pasteurella multocida",155,0.0180078682683446
"Paracoccus yeei",152,-0.0123348777115019
"Clostridium botulinum",143,-0.0164792395298725
"Rothia mucilaginosa",138,-0.000264706131762155
"Streptococcus agalactiae",128,-0.00964110234044305
"Microbacterium oleivorans",118,0.0122622498027315
"Bacteroides heparinolyticus",109,0.0103779103064629
"Buttiauxella sp. 3AFRM03",92,-0.00727731755291593
"Paracoccus denitrificans",76,-0.00246472130703122
